Customer-wise Revenue:
Customer 980: 509723.24000000005
Customer 981: 1.64888675e+06
Customer 982: 22689.45
Customer 983: 3.8878760399999996e+06
Customer 984: 1.6764112000000002e+06
Customer 985: 52259.58
Customer 986: 5.89405752e+06
Customer 987: 3.5754966e+06
Customer 988: 6.543931279999999e+06
Customer 989: 1.26907992e+06
Customer 990: 3.48102656e+06
Customer 991: 4.293892640000001e+06
Customer 992: 1.708047e+06
Customer 993: 896138.1
Customer 994: 362553.39
Customer 995: 1.3467831199999999e+06
Customer 996: 9.759835799999999e+06
Customer 997: 893515.7500000001
Customer 998: 4.21955856e+06
Customer 999: 197089.53000000003
Customer 1000: 4.17518992e+06
